,l,ANNzC_l,ANNzC_lErr,sdssC_l,sdssC_lErr
0,6,0.00543987921074,0.0018849342738,0.00575965775251,0.00196675248687
1,16,0.00224439343566,0.000369584776702,0.0022338449759,0.00036773221754
2,26,0.000841033733297,0.00011077975432,0.000838849612451,0.000110569663803
3,36,0.000635993577471,7.09851320216e-05,0.000634889552001,7.09070974472e-05
4,46,0.000506049100392,4.95950290612e-05,0.00049781380615,4.88929297178e-05
5,56,0.00037064277373,3.27332546016e-05,0.000373129532738,3.29448907395e-05
6,66,0.000228759019287,1.87028098586e-05,0.000233917931892,1.90881342309e-05
7,76,0.000169884956132,1.3127616216e-05,0.000172854229067,1.33278207842e-05
8,86,0.000120053261412,8.70315645515e-06,0.000123713456518,8.95413626229e-06
9,96,9.5254977088e-05,6.62639099166e-06,9.86305482384e-05,6.82780475131e-06
10,106,6.88543085923e-05,4.57372671507e-06,7.12088131865e-05,4.71995832763e-06
11,116,5.30556458552e-05,3.39675908429e-06,5.38473501613e-05,3.44547337822e-06
12,126,4.30832903569e-05,2.67851579043e-06,4.45121687227e-05,2.75750196767e-06
13,136,3.45994662428e-05,2.10769828517e-06,3.53380624793e-05,2.14610509294e-06
14,146,3.01204544888e-05,1.79415296541e-06,3.13200270016e-05,1.85349952183e-06
15,156,2.74984443638e-05,1.59101610455e-06,2.87108904273e-05,1.65107996743e-06
16,166,2.72411019497e-05,1.52688189983e-06,2.77783256531e-05,1.55070552286e-06
17,176,2.28771173887e-05,1.27236987773e-06,2.29297830617e-05,1.27142863001e-06
18,186,2.36182428141e-05,1.27380006337e-06,2.39961649057e-05,1.29022774167e-06
19,196,2.31556075255e-05,1.2176740288e-06,2.36776430256e-05,1.24024109173e-06
20,206,2.13738061731e-05,1.10626338913e-06,2.17357479856e-05,1.11892617509e-06
21,216,2.09256262397e-05,1.06104667683e-06,2.17344074429e-05,1.09318145968e-06
22,226,1.81222942297e-05,9.1868865045e-07,1.92209286105e-05,9.61814600222e-07
23,236,1.65128966566e-05,8.26637520482e-07,1.67121912817e-05,8.32024449326e-07
24,246,1.51068798362e-05,7.53910422706e-07,1.55560721467e-05,7.68611228023e-07
25,256,1.4120505999e-05,6.96183675466e-07,1.44572270721e-05,7.07018176644e-07
26,266,1.3053804443e-05,6.41042521592e-07,1.30295056265e-05,6.36534034662e-07
27,276,1.22838740861e-05,5.99381621477e-07,1.2737520768e-05,6.14350370471e-07
28,286,1.17487486161e-05,5.67424920663e-07,1.23177610613e-05,5.86153844783e-07
29,296,1.08704617426e-05,5.2481612345e-07,1.12319530762e-05,5.35430562951e-07
30,306,1.10169178811e-05,5.21578263242e-07,1.1345667858e-05,5.30849144819e-07
31,316,1.04753225073e-05,4.93804207335e-07,1.0752492556e-05,5.00520392224e-07
32,326,1.05127436955e-05,4.87138110167e-07,1.09668727667e-05,5.00345057753e-07
33,336,9.87567808728e-06,4.57573865009e-07,1.00972885584e-05,4.62095135916e-07
34,346,9.50985273488e-06,4.37563282789e-07,9.89668540563e-06,4.48522997929e-07
35,356,9.30704042032e-06,4.25007948665e-07,9.70601657246e-06,4.35999731252e-07
36,366,9.08676662686e-06,4.11971595196e-07,9.25921049214e-06,4.14640212119e-07
37,376,9.02817595879e-06,4.04135785252e-07,9.32754563075e-06,4.11342178627e-07
38,386,8.75084763886e-06,3.8958348538e-07,9.01277461766e-06,3.95787317506e-07
39,396,8.06033448242e-06,3.62094901317e-07,8.1289496809e-06,3.61330571162e-07
40,406,7.87112441825e-06,3.51110446145e-07,8.09261127149e-06,3.55679741999e-07
41,416,7.1774254493e-06,3.25223517618e-07,7.48673451082e-06,3.32420751563e-07
42,426,7.22962057113e-06,3.22845164537e-07,7.65569139786e-06,3.33685543383e-07
43,436,7.05138649459e-06,3.1341413035e-07,7.4853826238e-06,3.24417263584e-07
44,446,6.88056140203e-06,3.04525657753e-07,7.16316304931e-06,3.10868562949e-07
45,456,6.92178390442e-06,3.02492488574e-07,7.32140718409e-06,3.12210001263e-07
46,466,6.61997537876e-06,2.90256927914e-07,7.03504379561e-06,3.00382383366e-07
47,476,6.51971644821e-06,2.84072355685e-07,6.88668353177e-06,2.92661246025e-07
48,486,6.43506701554e-06,2.78799836292e-07,6.79793055944e-06,2.87136508889e-07
49,496,6.29117816418e-06,2.71593248815e-07,6.63867249647e-06,2.79392019454e-07
50,506,6.51809587074e-06,2.75537029884e-07,6.67115193262e-06,2.77680020571e-07
